ip,req_count,avg_interval,std_interval,label
66.249.34457,383,271.25916230366494,236.14767843156463,1
202.180.35500,12389,37.44082983532451,811.9798049924602,1
87.202.48402,15,26.285714285714285,87.32977611283775,0
94.67.56099,28,0.4074074074074074,1.097446843705856,0
35.153.52770,9342,8.665667487421047,17.566460825485684,0
79.103.40554,11,9.6,26.161804219128314,0
141.237.44390,131,63.40769230769231,711.4647804262574,0
77.49.54828,12,23.818181818181817,20.475342962243335,0
176.92.34367,187,2.564516129032258,7.072484091002399,0
37.6.38693,13,1.6666666666666667,4.109609335312651,0
2.85.43219,487,709.6934156378601,10022.7130722084,0
66.249.46500,573,180.993006993007,169.89909578423496,1
85.74.35922,30,0.034482758620689655,0.18246560765962705,0
37.6.46625,13,0.25,0.4330127018922193,0
37.6.33548,57,9.696428571428571,57.9682547492459,0
66.249.58337,120,3982.3361344537816,12629.598792191286,0
66.249.56392,117,4061.948275862069,10484.245246744102,0
66.249.39314,119,3978.830508474576,10950.890180753971,0
155.207.43356,91,18.633333333333333,126.73116340418319,0
176.92.58901,735,550.1689373297003,10933.086745321498,0
155.207.36594,413,995.504854368932,19926.523309190787,0
66.249.49540,741,139.39324324324323,140.49263021075313,1
78.87.53778,68,6478.268656716418,43085.91144899352,0
157.55.45802,93,412.1195652173913,430.6186359381142,1
94.68.51815,145,1116.2430555555557,11827.963498895382,0
78.87.36528,7,3.3333333333333335,4.459696053419884,0
216.244.40675,1696,279.6047197640118,310.38472003628203,1
216.244.58782,13894,33.97703879651623,308.8977265863325,1
5.55.59536,43,0.5476190476190477,1.7348305935187496,0
157.55.41705,22,525.8095238095239,526.6502968264541,1
78.87.33408,146,2385.2620689655173,28575.155190098576,0
40.77.58842,34,717.6060606060606,658.1372675920823,1
5.54.45507,80,24.658227848101266,87.56088457897104,0
77.69.55206,292,1409.5807560137457,23949.925076384672,0
40.77.38131,23,1439.1363636363637,1266.0463978089265,1
79.103.34700,704,2.813655761024182,16.392786677574367,0
188.117.50661,68,4872.567164179104,39524.51674224718,0
94.68.40566,24,9.826086956521738,24.021099735736037,0
188.4.44754,30,0.3103448275862069,0.7923534684880038,0
2.85.58220,218,1995.552995391705,23964.214859695723,0
46.103.44804,288,11.878048780487806,132.35532804950353,0
94.67.36378,42,3.731707317073171,16.03049592258745,0
83.212.57559,31,0.4,1.8,0
2.85.53381,231,1429.504347826087,15277.601514677759,0
35.226.59907,523,904.0670498084291,1096.1228752166835,0
155.207.50301,455,137.16299559471366,2727.563105274772,0
80.106.42404,22,0.7619047619047619,2.758618734849569,0
79.103.47401,59,6982.068965517241,44153.987481064556,0
141.237.34713,328,1442.5963302752293,12123.295939741658,0
216.244.49318,12417,37.96045425257732,409.77514102679135,1
185.145.53979,35,5.0,16.815608995286283,0
141.237.43163,106,2871.8571428571427,29257.896830128575,0
5.144.49862,92,9.626373626373626,51.796229730762704,0
62.74.58093,14,19.076923076923077,64.64989920684812,0
80.106.43633,428,155.480093676815,3170.7094333119962,0
23.103.42157,5,103981.25,63573.05933481178,1
62.74.33783,6,10.6,20.214846029589243,0
66.220.30377,2,60235.0,0.0,0
37.6.49624,79,0.7435897435897436,3.6424699194009778,0
176.92.48137,6,594.2,1130.6612932262253,0
155.207.46558,133,3.6818181818181817,16.55492153401051,0
82.1.48611,41,0.65,3.431836243179445,0
94.66.43260,11,26.4,65.69657525320478,0
87.203.56482,104,874.5533980582525,6642.463209523037,0
188.240.58384,26,14.32,65.29607645180528,0
195.130.58920,12,0.2727272727272727,0.4453617714151233,0
46.103.58263,484,726.544513457557,8143.606713612162,0
87.202.52768,45,140.61363636363637,916.27750401257,0
78.87.34774,165,2637.048780487805,27371.610661503637,0
87.202.31987,3,40064.5,31789.5,0
79.166.56714,389,0.7860824742268041,3.133311563509564,0
79.166.50472,23,1.3181818181818181,3.335570874355878,0
89.210.34039,52,1.2156862745098038,2.858175240515859,0
2.85.44861,116,1.7391304347826086,5.343971746413432,0
5.45.37441,34,13889.939393939394,14655.309710940937,1
5.55.41372,11,0.1,0.30000000000000004,0
2.85.36239,134,434.0375939849624,4426.342079143253,0
65.55.50606,6,3.2,2.039607805437114,0
217.182.32484,315,971.6369426751593,11525.651413207082,0
37.6.46419,144,1.4335664335664335,6.04245983412263,0
90.192.45888,32,1.3548387096774193,6.6988125432881365,0
178.59.32435,92,4684.472527472528,26055.515986565442,0
5.255.44411,57,8093.732142857143,8508.664320417056,1
178.59.59724,119,1083.8389830508474,11683.485966163145,0
155.207.53757,454,680.3752759381898,14252.132497437402,0
94.67.45245,59,1.4310344827586208,5.632761523278018,0
62.74.32844,69,1.25,5.165994579942956,0
79.103.56100,270,23.981412639405203,306.8905142857938,0
85.93.35284,2,0.0,0.0,1
155.207.40982,651,624.4538461538461,8033.851627200385,0
2.85.48520,22,0.047619047619047616,0.21295885499998005,0
